[DEBUG] start_sample=25413312000, end_sample=25528512000, data_sample_num=24883249808, len(data)=1382401248
[DEBUG] wav_idx=37, len(wav_list)=576, start_time=2024-09-14 13:50:34, last_processed_wav_index=36
[DEBUG] start_sample=26156928000, end_sample=26272128000, data_sample_num=25574449680, len(data)=1382398864
[DEBUG] wav_idx=38, len(wav_list)=576, start_time=2024-09-14 14:51:38, last_processed_wav_index=37
[DEBUG] start_sample=26860416000, end_sample=26975616000, data_sample_num=26265651056, len(data)=1382400832
[DEBUG] wav_idx=39, len(wav_list)=576, start_time=2024-09-14 15:26:29, last_processed_wav_index=38
[DEBUG] start_sample=27261888000, end_sample=27377088000, data_sample_num=26956848544, len(data)=1382406320
[DEBUG] wav_idx=40, len(wav_list)=576, start_time=2024-09-14 16:35:07, last_processed_wav_index=39
[DEBUG] start_sample=28052544000, end_sample=28167744000, data_sample_num=27648051888, len(data)=1382405296
[DEBUG] wav_idx=42, len(wav_list)=576, start_time=2024-09-14 18:29:26, last_processed_wav_index=0
[DEBUG] start_sample=29369472000, end_sample=29484672000, data_sample_num=29030457184, len(data)=1382403152
[DEBUG] wav_idx=43, len(wav_list)=576, start_time=2024-09-14 19:36:00, last_processed_wav_index=42
[DEBUG] start_sample=30136320000, end_sample=30251520000, data_sample_num=29721658256, len(data)=1382403952
[DEBUG] wav_idx=43, len(wav_list)=576, start_time=2024-09-14 19:50:20, last_processed_wav_index=43
[DEBUG] wav_idx=44, len(wav_list)=576, start_time=2024-09-14 20:04:45, last_processed_wav_index=43
[DEBUG] start_sample=30467520000, end_sample=30582720000, data_sample_num=30412860336, len(data)=1382400992
[DEBUG] wav_idx=45, len(wav_list)=576, start_time=2024-09-14 21:23:17, last_processed_wav_index=44
[DEBUG] start_sample=31372224000, end_sample=31487424000, data_sample_num=31104062208, len(data)=1382401728
[DEBUG] wav_idx=45, len(wav_list)=576, start_time=2024-09-14 21:31:54, last_processed_wav_index=45
[DEBUG] wav_idx=48, len(wav_list)=576, start_time=2024-09-15 00:52:12, last_processed_wav_index=0
[DEBUG] start_sample=33778944000, end_sample=33894144000, data_sample_num=33177662832, len(data)=1382399920
[DEBUG] wav_idx=53, len(wav_list)=576, start_time=2024-09-15 05:26:37, last_processed_wav_index=48
[DEBUG] start_sample=36940224000, end_sample=37055424000, data_sample_num=36633669056, len(data)=1382401552
[DEBUG] wav_idx=54, len(wav_list)=576, start_time=2024-09-15 06:12:45, last_processed_wav_index=0
[DEBUG] start_sample=37471680000, end_sample=37586880000, data_sample_num=37324868720, len(data)=1382401184
[DEBUG] wav_idx=54, len(wav_list)=576, start_time=2024-09-15 06:43:48, last_processed_wav_index=54
[DEBUG] wav_idx=54, len(wav_list)=576, start_time=2024-09-15 06:52:32, last_processed_wav_index=54
[DEBUG] wav_idx=56, len(wav_list)=576, start_time=2024-09-15 08:40:47, last_processed_wav_index=54
[DEBUG] start_sample=39177024000, end_sample=39292224000, data_sample_num=38707269904, len(data)=1382403456
[DEBUG] wav_idx=56, len(wav_list)=576, start_time=2024-09-15 08:44:50, last_processed_wav_index=56
[DEBUG] wav_idx=57, len(wav_list)=576, start_time=2024-09-15 09:02:51, last_processed_wav_index=56
[DEBUG] start_sample=39431232000, end_sample=39546432000, data_sample_num=39398472400, len(data)=1382403488
[DEBUG] wav_idx=57, len(wav_list)=576, start_time=2024-09-15 09:14:18, last_processed_wav_index=57
[DEBUG] wav_idx=59, len(wav_list)=576, start_time=2024-09-15 11:03:20, last_processed_wav_index=57
[DEBUG] start_sample=40819200000, end_sample=40934400000, data_sample_num=40780875888, len(data)=1382401504
[DEBUG] wav_idx=60, len(wav_list)=576, start_time=2024-09-15 12:50:26, last_processed_wav_index=0
[DEBUG] start_sample=42052992000, end_sample=42168192000, data_sample_num=41472078624, len(data)=1382401552
[DEBUG] wav_idx=61, len(wav_list)=576, start_time=2024-09-15 13:13:39, last_processed_wav_index=60
[DEBUG] start_sample=42320448000, end_sample=42435648000, data_sample_num=42163277392, len(data)=1382404400
[DEBUG] wav_idx=61, len(wav_list)=576, start_time=2024-09-15 13:43:22, last_processed_wav_index=61
[DEBUG] wav_idx=61, len(wav_list)=576, start_time=2024-09-15 13:52:34, last_processed_wav_index=61
[DEBUG] wav_idx=62, len(wav_list)=576, start_time=2024-09-15 14:47:35, last_processed_wav_index=61
[DEBUG] start_sample=43402560000, end_sample=43517760000, data_sample_num=42854480176, len(data)=1382404208
[DEBUG] wav_idx=62, len(wav_list)=576, start_time=2024-09-15 14:51:20, last_processed_wav_index=62
[DEBUG] wav_idx=63, len(wav_list)=576, start_time=2024-09-15 15:19:20, last_processed_wav_index=62
[DEBUG] start_sample=43768320000, end_sample=43883520000, data_sample_num=43545681792, len(data)=1382402672
[DEBUG] wav_idx=63, len(wav_list)=576, start_time=2024-09-15 15:20:01, last_processed_wav_index=63
[DEBUG] wav_idx=63, len(wav_list)=576, start_time=2024-09-15 15:45:31, last_processed_wav_index=63
[DEBUG] wav_idx=64, len(wav_list)=576, start_time=2024-09-15 16:03:34, last_processed_wav_index=63
[DEBUG] start_sample=44277888000, end_sample=44393088000, data_sample_num=44236884384, len(data)=1382401040
[DEBUG] wav_idx=64, len(wav_list)=576, start_time=2024-09-15 16:11:51, last_processed_wav_index=64
[DEBUG] wav_idx=65, len(wav_list)=576, start_time=2024-09-15 17:00:35, last_processed_wav_index=64
[DEBUG] start_sample=44934720000, end_sample=45049920000, data_sample_num=44928084464, len(data)=1382404976
[DEBUG] wav_idx=65, len(wav_list)=576, start_time=2024-09-15 17:37:59, last_processed_wav_index=65
[DEBUG] wav_idx=66, len(wav_list)=576, start_time=2024-09-15 18:35:59, last_processed_wav_index=0
[DEBUG] start_sample=46033728000, end_sample=46148928000, data_sample_num=45619285424, len(data)=1382403968
[DEBUG] wav_idx=67, len(wav_list)=576, start_time=2024-09-15 19:05:27, last_processed_wav_index=66
[DEBUG] start_sample=46373184000, end_sample=46488384000, data_sample_num=46310489440, len(data)=1382400224
[DEBUG] wav_idx=67, len(wav_list)=576, start_time=2024-09-15 19:23:27, last_processed_wav_index=67
[DEBUG] wav_idx=67, len(wav_list)=576, start_time=2024-09-15 19:32:05, last_processed_wav_index=67
[DEBUG] wav_idx=67, len(wav_list)=576, start_time=2024-09-15 19:56:37, last_processed_wav_index=67
[DEBUG] wav_idx=67, len(wav_list)=576, start_time=2024-09-15 19:58:37, last_processed_wav_index=67
[DEBUG] wav_idx=68, len(wav_list)=576, start_time=2024-09-15 20:17:29, last_processed_wav_index=67
[DEBUG] start_sample=47203008000, end_sample=47318208000, data_sample_num=47001689392, len(data)=1382398976
[DEBUG] wav_idx=68, len(wav_list)=576, start_time=2024-09-15 20:33:38, last_processed_wav_index=68
[DEBUG] wav_idx=69, len(wav_list)=576, start_time=2024-09-15 21:31:18, last_processed_wav_index=68
[DEBUG] start_sample=48053376000, end_sample=48168576000, data_sample_num=47692889664, len(data)=1382406048
[DEBUG] wav_idx=70, len(wav_list)=576, start_time=2024-09-15 22:26:01, last_processed_wav_index=69
